title,tags
"Warhammer® 40,000: Dawn of War® - Dark Crusade","Strategy, Warhammer 40K, RTS, Base Building, Sci-fi, Multiplayer, Singleplayer, Games Workshop, Real-Time, Classic, Masterpiece, War, Action, Tactical, Atmospheric, Gore, Co-op, Fantasy, Space, Adventure"
Total War: MEDIEVAL II – Definitive Edition,"Strategy, Medieval, Historical, Turn-Based Strategy, Grand Strategy, War, RTS, Tactical, Singleplayer, Multiplayer, Military, Moddable, Turn-Based, Real Time Tactics, Classic, Simulation, Action, Masterpiece, Sandbox, Great Soundtrack"
Condemned: Criminal Origins,"Horror, Action, First-Person, Atmospheric, Survival Horror, Psychological Horror, Crime, Singleplayer, FPS, Difficult, Gore, Detective, Dark, Classic, Mystery, Survival, Story Rich, Beat 'em up, Thriller, Shooter"
Rome: Total War™ - Collection,"Strategy, Historical, Rome, Turn-Based Strategy, RTS, Grand Strategy, Classic, Tactical, War, Masterpiece, Great Soundtrack, Multiplayer, Singleplayer, Turn-Based, Moddable, Real Time Tactics, Action, Atmospheric, Simulation, 4X"
Rome: Total War™ - Alexander,"Strategy, RTS, Historical, Grand Strategy, Turn-Based Strategy, Rome, Turn-Based, Singleplayer, Multiplayer, Classic, Tactical"
Medieval II: Total War™ Kingdoms,"Strategy, Medieval, Historical, Grand Strategy, Singleplayer, Multiplayer, Moddable, RTS, Turn-Based Strategy, Turn-Based, War, Classic, Masterpiece, Great Soundtrack"
Heroes of Annihilated Empires,"Strategy, RTS, Fantasy, RPG, Masterpiece, Multiplayer"
Cossacks: Back to War,"Strategy, Classic, RTS, Multiplayer, Masterpiece, Historical, War, Singleplayer"
Cossacks: Art of War,"Strategy, RTS, Historical, War"
Cossacks: European Wars,"Strategy, RTS, Historical, Singleplayer"
Cossacks II: Battle for Europe,"Strategy, RTS, Historical"
Zen of Sudoku,"Casual, Indie, Puzzle, Free to Play"
Natural Selection 2,"Multiplayer, Strategy, FPS, Team-Based, Action, Sci-fi, RTS, Aliens, Indie, Competitive, Shooter, Co-op, Moddable, Tactical, First-Person, Space, Futuristic, Atmospheric, Online Co-Op, Adventure"
